ID,cb_person_cred_hist_length,loan_amnt,loan_int_rate,loan_intent,loan_percent_income,person_education,person_gender,person_home_ownership,person_income,previous_loan_defaults_on_file,loan_status
85,6.0,3945.0,12.19,DEBTCONSOLIDATION,0.15,Associate,female,RENT,25526.0,No,0.0
86,2.0,4000.0,5.42,MEDICAL,0.04,Associate,male,RENT,112264.0,No,0.0
87,14.0,9000.0,10.65,EDUCATION,0.3,Master,female,RENT,30216.0,No,1.0
88,9.0,5000.0,11.01,MEDICAL,0.09,Associate,male,RENT,56132.0,Yes,0.0
89,3.0,12500.0,15.33,VENTURE,0.14,Master,female,OWN,90906.0,Yes,0.0
90,2.0,15000.0,10.36,DEBTCONSOLIDATION,0.18,Associate,female,MORTGAGE,84652.0,Yes,0.0
91,12.0,8000.0,13.8,VENTURE,0.27,Associate,male,RENT,29777.0,No,1.0
92,9.0,9600.0,11.01,VENTURE,0.19,High School,male,RENT,50007.0,Yes,0.0
93,4.0,8000.0,15.51,EDUCATION,0.09,High School,female,RENT,85288.0,No,0.0
94,5.0,15000.0,12.04,MEDICAL,0.12,Bachelor,female,MORTGAGE,121246.0,Yes,0.0
95,17.0,15000.0,15.62,EDUCATION,0.06,High School,male,RENT,270988.0,Yes,0.0
96,3.0,15000.0,6.99,DEBTCONSOLIDATION,0.17,Master,male,MORTGAGE,90737.0,Yes,0.0
97,5.0,3000.0,7.37,EDUCATION,0.06,Bachelor,male,MORTGAGE,48198.0,No,0.0
98,2.0,6800.0,11.59,PERSONAL,0.14,High School,male,RENT,50288.0,Yes,0.0
99,7.0,5000.0,13.23,VENTURE,0.06,Master,female,MORTGAGE,77732.0,Yes,0.0
100,2.0,4750.0,11.01,VENTURE,0.1,Bachelor,male,MORTGAGE,49053.0,Yes,0.0
101,3.0,13000.0,12.42,MEDICAL,0.12,Master,female,MORTGAGE,109161.0,No,0.0
102,9.0,20000.0,13.22,HOMEIMPROVEMENT,0.23,Associate,male,RENT,87380.0,No,1.0
103,9.0,25000.0,15.95,MEDICAL,0.22,Bachelor,female,MORTGAGE,111243.0,No,1.0
104,3.0,8800.0,9.33,MEDICAL,0.28,Bachelor,female,OWN,31566.0,Yes,0.0
105,4.0,5000.0,8.28,VENTURE,0.07,High School,male,MORTGAGE,74976.0,Yes,0.0
106,7.0,6000.0,11.99,PERSONAL,0.25,Bachelor,female,OWN,24100.0,No,1.0
107,6.0,5175.0,18.43,HOMEIMPROVEMENT,0.17,Associate,female,RENT,31028.0,No,1.0
108,9.0,7000.0,9.91,VENTURE,0.04,Associate,male,MORTGAGE,157136.0,Yes,0.0
109,10.0,5000.0,15.31,HOMEIMPROVEMENT,0.08,Bachelor,female,RENT,59818.0,No,1.0
110,4.0,6300.0,11.49,VENTURE,0.08,Bachelor,female,MORTGAGE,76408.0,Yes,0.0
111,3.0,5000.0,8.45,PERSONAL,0.07,High School,female,RENT,67966.0,Yes,0.0
112,3.0,6000.0,6.76,PERSONAL,0.1,Bachelor,female,MORTGAGE,61022.0,Yes,0.0
113,2.0,8000.0,6.99,EDUCATION,0.09,High School,male,RENT,84873.0,Yes,0.0
114,5.0,25000.0,11.68,EDUCATION,0.2,High School,male,MORTGAGE,126962.0,Yes,0.0
115,3.0,20000.0,11.36,DEBTCONSOLIDATION,0.17,Associate,male,MORTGAGE,120810.0,Yes,0.0
116,3.0,4400.0,7.4,PERSONAL,0.04,Master,male,MORTGAGE,102989.0,Yes,0.0
117,6.0,15000.0,11.01,PERSONAL,0.14,Bachelor,female,MORTGAGE,109240.0,Yes,0.0
118,4.0,9600.0,12.91,PERSONAL,0.12,High School,female,RENT,79106.0,Yes,0.0
119,6.0,7500.0,7.49,MEDICAL,0.13,Associate,female,RENT,58445.0,Yes,0.0
120,11.0,7000.0,7.29,VENTURE,0.08,Associate,female,OWN,82574.0,Yes,0.0
121,3.0,4500.0,6.62,DEBTCONSOLIDATION,0.09,Master,male,MORTGAGE,48915.0,Yes,0.0
122,10.0,5300.0,14.65,VENTURE,0.1,Master,male,RENT,53129.0,No,0.0
123,8.0,12000.0,11.01,MEDICAL,0.2,Associate,female,RENT,59350.0,Yes,0.0
124,7.0,8500.0,7.72,MEDICAL,0.28,Bachelor,female,RENT,29882.0,No,1.0
125,8.0,10000.0,9.24,HOMEIMPROVEMENT,0.11,Master,female,MORTGAGE,93710.0,Yes,0.0
126,6.0,2000.0,8.03,VENTURE,0.02,Bachelor,male,MORTGAGE,104459.0,Yes,0.0
127,9.0,5000.0,13.24,EDUCATION,0.13,Associate,male,RENT,38211.0,Yes,0.0
128,2.0,3000.0,14.35,VENTURE,0.05,High School,male,MORTGAGE,63102.0,Yes,0.0
129,2.0,8000.0,11.49,MEDICAL,0.08,Bachelor,male,RENT,95940.0,No,0.0
130,4.0,8945.0,7.02,EDUCATION,0.29,Associate,male,OWN,30810.0,Yes,0.0
131,3.0,3500.0,13.11,EDUCATION,0.14,High School,male,RENT,24992.0,No,0.0
132,4.0,6000.0,7.68,VENTURE,0.11,Bachelor,female,OWN,52752.0,Yes,0.0
133,6.0,3100.0,7.9,DEBTCONSOLIDATION,0.05,Associate,male,MORTGAGE,64471.0,Yes,0.0
134,9.0,8000.0,12.69,MEDICAL,0.19,Associate,male,MORTGAGE,41924.0,No,1.0
135,15.0,5000.0,8.49,HOMEIMPROVEMENT,0.07,Associate,female,MORTGAGE,75831.0,Yes,0.0
136,4.0,12000.0,8.22,VENTURE,0.24,Associate,female,RENT,51054.0,Yes,0.0
137,2.0,4200.0,7.9,EDUCATION,0.08,Bachelor,male,RENT,51628.0,Yes,0.0
138,8.0,5000.0,7.29,EDUCATION,0.08,Bachelor,female,RENT,58920.0,Yes,0.0
139,2.0,15000.0,6.03,EDUCATION,0.25,Master,female,RENT,61077.0,No,0.0
140,15.0,6700.0,12.92,HOMEIMPROVEMENT,0.28,Doctorate,female,RENT,24085.0,No,1.0
141,11.0,10000.0,11.97,PERSONAL,0.35,High School,male,RENT,28446.0,No,1.0
142,9.0,12000.0,10.25,VENTURE,0.14,High School,female,RENT,84724.0,Yes,0.0
143,3.0,4000.0,7.9,EDUCATION,0.11,Associate,male,RENT,36958.0,Yes,0.0
144,6.0,1500.0,11.73,PERSONAL,0.04,Bachelor,female,RENT,35620.0,No,0.0
145,3.0,6000.0,12.99,VENTURE,0.07,High School,female,RENT,83980.0,No,0.0
146,2.0,4500.0,5.42,DEBTCONSOLIDATION,0.05,Associate,female,MORTGAGE,85207.0,Yes,0.0
147,3.0,5000.0,8.89,VENTURE,0.07,High School,female,MORTGAGE,73031.0,No,0.0
148,4.0,6000.0,8.94,HOMEIMPROVEMENT,0.05,Bachelor,male,RENT,112583.0,No,1.0
149,3.0,20000.0,10.9,MEDICAL,0.2,High School,male,MORTGAGE,99770.0,Yes,0.0
150,2.0,9375.0,11.71,PERSONAL,0.25,High School,male,RENT,36784.0,No,1.0
151,2.0,6375.0,10.74,DEBTCONSOLIDATION,0.16,Bachelor,male,RENT,39588.0,Yes,0.0
152,11.0,12444.0,6.48,EDUCATION,0.09,High School,male,MORTGAGE,139113.0,No,0.0
153,6.0,8500.0,5.42,VENTURE,0.28,Associate,female,OWN,29953.0,Yes,0.0
154,4.0,10000.0,12.42,MEDICAL,0.19,Bachelor,male,RENT,51417.0,No,0.0
155,2.0,10000.0,11.14,VENTURE,0.27,Bachelor,male,RENT,36877.0,No,1.0
156,9.0,21000.0,12.62,VENTURE,0.12,Bachelor,male,RENT,181152.0,Yes,0.0
157,9.0,10000.0,11.14,DEBTCONSOLIDATION,0.12,Bachelor,female,MORTGAGE,81467.0,Yes,0.0
158,10.0,6000.0,6.56,PERSONAL,0.06,Associate,male,MORTGAGE,96717.0,Yes,0.0
159,4.0,19000.0,11.05,DEBTCONSOLIDATION,0.29,Bachelor,male,RENT,66124.0,No,1.0
160,7.0,20000.0,6.99,PERSONAL,0.27,High School,female,MORTGAGE,72925.0,No,0.0
161,4.0,7500.0,11.83,EDUCATION,0.2,Bachelor,female,RENT,37028.0,No,0.0
162,8.0,5000.0,9.99,VENTURE,0.03,Bachelor,male,RENT,168827.0,No,0.0
163,8.0,1000.0,13.49,PERSONAL,0.04,Doctorate,female,RENT,22776.0,No,1.0
164,7.0,5690.0,12.25,HOMEIMPROVEMENT,0.06,Master,male,MORTGAGE,92153.0,No,0.0
165,4.0,2500.0,14.96,MEDICAL,0.05,Associate,male,OWN,50062.0,Yes,0.0
166,13.0,1500.0,15.23,PERSONAL,0.07,Associate,male,RENT,21008.0,No,1.0
167,10.0,8500.0,15.96,VENTURE,0.25,High School,male,RENT,33441.0,No,1.0
168,17.0,6000.0,12.61,EDUCATION,0.13,Bachelor,female,RENT,46623.0,No,0.0
169,5.0,22000.0,11.36,EDUCATION,0.46,High School,female,MORTGAGE,47801.0,No,1.0
170,10.0,4800.0,11.01,DEBTCONSOLIDATION,0.07,High School,female,RENT,69255.0,No,1.0
171,6.0,7500.0,15.31,HOMEIMPROVEMENT,0.18,Associate,male,OWN,41241.0,No,0.0
172,5.0,6000.0,13.35,EDUCATION,0.09,Bachelor,female,RENT,66946.0,No,0.0
173,4.0,10000.0,7.56,EDUCATION,0.16,High School,male,RENT,60900.0,Yes,0.0
174,4.0,4200.0,11.01,DEBTCONSOLIDATION,0.21,High School,female,RENT,20212.0,No,1.0
175,4.0,6500.0,7.51,EDUCATION,0.12,Associate,female,MORTGAGE,54067.0,No,0.0
176,5.0,20000.0,11.75,EDUCATION,0.14,High School,female,MORTGAGE,145087.0,Yes,0.0
177,11.0,12000.0,13.3,EDUCATION,0.2,Associate,male,MORTGAGE,60810.0,Yes,0.0
178,5.0,18000.0,8.87,HOMEIMPROVEMENT,0.23,High School,female,RENT,79247.0,Yes,0.0
179,4.0,7000.0,7.71,EDUCATION,0.08,High School,male,MORTGAGE,89225.0,Yes,0.0
180,7.0,6250.0,14.96,DEBTCONSOLIDATION,0.17,Doctorate,male,RENT,36534.0,No,1.0
181,2.0,5000.0,11.01,HOMEIMPROVEMENT,0.17,Bachelor,male,RENT,29477.0,No,1.0
182,4.0,11200.0,7.91,DEBTCONSOLIDATION,0.09,Master,female,MORTGAGE,123491.0,Yes,0.0
183,3.0,5000.0,8.9,DEBTCONSOLIDATION,0.09,Bachelor,male,RENT,53450.0,No,0.0
184,4.0,11204.0,6.59,MEDICAL,0.29,Bachelor,female,RENT,38268.0,No,1.0
185,6.0,10000.0,13.86,PERSONAL,0.1,Associate,female,MORTGAGE,98100.0,Yes,0.0
186,7.0,3592.0,9.26,DEBTCONSOLIDATION,0.06,Associate,male,RENT,64413.0,No,0.0
187,3.0,3600.0,11.01,PERSONAL,0.03,Bachelor,female,RENT,132920.0,Yes,0.0
188,5.0,12000.0,12.53,EDUCATION,0.11,Associate,female,RENT,106410.0,Yes,0.0
189,3.0,10000.0,7.14,EDUCATION,0.08,Bachelor,female,MORTGAGE,128491.0,Yes,0.0
190,5.0,25000.0,11.01,PERSONAL,0.26,Bachelor,female,RENT,94739.0,No,1.0
191,2.0,3000.0,13.49,PERSONAL,0.02,High School,male,MORTGAGE,157127.0,Yes,0.0
192,4.0,7500.0,10.75,MEDICAL,0.2,High School,female,RENT,36804.0,No,0.0
193,4.0,4000.0,11.01,EDUCATION,0.12,Bachelor,male,RENT,32215.0,Yes,0.0
194,4.0,2448.0,9.35,DEBTCONSOLIDATION,0.04,High School,female,RENT,63303.0,Yes,0.0
195,5.0,19000.0,15.68,VENTURE,0.28,Master,male,RENT,68266.0,No,1.0
196,5.0,23748.0,8.88,VENTURE,0.26,Associate,male,MORTGAGE,91121.0,Yes,0.0
197,6.0,15000.0,10.0,HOMEIMPROVEMENT,0.4,Associate,male,RENT,37309.0,No,1.0
198,11.0,4824.0,10.71,PERSONAL,0.0,Bachelor,female,MORTGAGE,1097671.0,Yes,0.0
199,7.0,3104.0,15.64,HOMEIMPROVEMENT,0.05,Associate,male,RENT,63403.0,No,1.0
200,6.0,7200.0,7.66,MEDICAL,0.17,Bachelor,male,RENT,43090.0,Yes,0.0
201,4.0,5825.0,14.27,MEDICAL,0.18,High School,male,RENT,32099.0,Yes,0.0
202,2.0,10000.0,10.37,MEDICAL,0.15,Bachelor,female,RENT,66892.0,Yes,0.0
203,16.0,5000.0,7.29,MEDICAL,0.1,High School,male,RENT,50434.0,No,0.0
204,2.0,4000.0,16.29,VENTURE,0.09,Bachelor,female,RENT,42818.0,Yes,0.0
205,4.0,4800.0,7.49,DEBTCONSOLIDATION,0.13,Master,male,RENT,36813.0,Yes,0.0
206,10.0,10000.0,10.59,DEBTCONSOLIDATION,0.15,Associate,male,RENT,66983.0,No,0.0
207,9.0,2500.0,8.49,VENTURE,0.01,Doctorate,male,MORTGAGE,175760.0,Yes,0.0
208,13.0,15625.0,8.9,PERSONAL,0.28,Associate,male,MORTGAGE,54847.0,Yes,0.0
209,7.0,12500.0,8.88,EDUCATION,0.15,Master,male,RENT,85000.0,No,0.0
210,10.0,9800.0,12.69,MEDICAL,0.09,Associate,female,MORTGAGE,106578.0,Yes,0.0
211,4.0,7000.0,8.0,HOMEIMPROVEMENT,0.25,High School,male,RENT,28352.0,No,1.0
212,8.0,15000.0,8.94,VENTURE,0.11,Bachelor,male,MORTGAGE,136812.0,Yes,0.0
213,5.0,25000.0,13.49,HOMEIMPROVEMENT,0.13,Bachelor,female,MORTGAGE,193296.0,Yes,0.0
214,4.0,12000.0,11.01,PERSONAL,0.14,Associate,male,MORTGAGE,88733.0,No,0.0
215,9.0,5584.0,11.52,EDUCATION,0.09,Bachelor,female,MORTGAGE,60837.0,Yes,0.0
216,2.0,10000.0,9.32,VENTURE,0.14,High School,female,RENT,73017.0,Yes,0.0
217,10.0,5000.0,12.68,VENTURE,0.14,Associate,female,OWN,36781.0,Yes,0.0
218,17.0,1739.0,12.25,MEDICAL,0.03,Associate,female,RENT,53929.0,No,1.0
219,2.0,20000.0,11.78,DEBTCONSOLIDATION,0.35,High School,male,RENT,56451.0,No,1.0
220,8.0,25000.0,11.01,EDUCATION,0.11,Associate,male,MORTGAGE,229063.0,Yes,0.0
221,5.0,2000.0,10.75,DEBTCONSOLIDATION,0.03,Associate,female,RENT,58677.0,No,0.0
222,4.0,3000.0,11.92,MEDICAL,0.05,Bachelor,female,RENT,64645.0,No,0.0
223,4.0,3200.0,17.93,VENTURE,0.16,Bachelor,male,RENT,19960.0,No,1.0
224,10.0,9600.0,7.51,MEDICAL,0.13,Bachelor,female,MORTGAGE,72857.0,No,0.0
225,2.0,3600.0,9.62,DEBTCONSOLIDATION,0.24,Bachelor,male,RENT,15187.0,No,1.0
226,2.0,15000.0,10.25,VENTURE,0.1,Master,female,MORTGAGE,145072.0,Yes,0.0
227,6.0,10000.0,6.03,EDUCATION,0.23,Associate,female,MORTGAGE,42835.0,No,0.0
228,7.0,12000.0,9.98,PERSONAL,0.16,High School,male,RENT,73174.0,Yes,0.0
229,4.0,12000.0,16.77,DEBTCONSOLIDATION,0.16,Bachelor,male,RENT,76036.0,No,1.0
230,2.0,7000.0,9.32,DEBTCONSOLIDATION,0.23,Bachelor,male,MORTGAGE,30823.0,Yes,0.0
231,17.0,6000.0,14.27,HOMEIMPROVEMENT,0.03,Associate,female,MORTGAGE,216774.0,Yes,0.0
232,2.0,20000.0,11.36,EDUCATION,0.28,Master,male,MORTGAGE,72016.0,No,1.0
233,3.0,15000.0,11.01,DEBTCONSOLIDATION,0.21,High School,male,RENT,73005.0,Yes,0.0
234,7.0,2800.0,13.04,DEBTCONSOLIDATION,0.08,Associate,male,RENT,36861.0,Yes,0.0
235,7.0,4000.0,8.95,HOMEIMPROVEMENT,0.05,Associate,male,RENT,73063.0,Yes,0.0
236,7.0,15000.0,11.83,PERSONAL,0.17,High School,female,MORTGAGE,88503.0,Yes,0.0
237,3.0,22000.0,10.94,MEDICAL,0.35,Master,female,MORTGAGE,61973.0,Yes,0.0
238,3.0,16000.0,17.14,VENTURE,0.18,Master,female,OWN,87233.0,Yes,0.0
239,2.0,3500.0,15.65,EDUCATION,0.23,Master,male,RENT,15343.0,No,1.0
240,8.0,22000.0,14.59,MEDICAL,0.27,High School,male,MORTGAGE,80676.0,No,1.0
241,5.0,4000.0,13.62,MEDICAL,0.04,Bachelor,male,MORTGAGE,91308.0,No,0.0
242,3.0,7000.0,13.98,PERSONAL,0.06,Bachelor,male,MORTGAGE,120717.0,No,0.0
243,5.0,1271.0,13.83,DEBTCONSOLIDATION,0.04,Master,female,RENT,31426.0,No,1.0
244,7.0,7000.0,6.76,PERSONAL,0.05,Associate,female,MORTGAGE,144990.0,No,0.0
245,9.0,9200.0,10.0,MEDICAL,0.12,Associate,male,RENT,75233.0,Yes,0.0
246,4.0,7500.0,13.8,PERSONAL,0.12,Master,male,MORTGAGE,60947.0,No,0.0
247,4.0,3000.0,10.99,MEDICAL,0.05,Bachelor,female,RENT,64734.0,No,0.0
248,4.0,5000.0,10.67,DEBTCONSOLIDATION,0.17,Master,male,RENT,29667.0,Yes,0.0
249,5.0,6500.0,7.74,VENTURE,0.08,Bachelor,male,RENT,81245.0,Yes,0.0
250,5.0,10772.0,14.37,DEBTCONSOLIDATION,0.27,Bachelor,male,RENT,39195.0,No,1.0
251,12.0,15000.0,9.62,PERSONAL,0.21,Doctorate,male,MORTGAGE,70274.0,Yes,0.0
252,13.0,20000.0,14.26,EDUCATION,0.24,Bachelor,male,MORTGAGE,84988.0,No,0.0
253,2.0,8000.0,10.85,EDUCATION,0.18,High School,male,RENT,44400.0,No,0.0
254,7.0,4000.0,13.92,MEDICAL,0.04,Bachelor,female,MORTGAGE,91099.0,No,0.0
255,6.0,10000.0,14.96,MEDICAL,0.21,Bachelor,female,RENT,47635.0,No,1.0
256,5.0,6000.0,6.03,DEBTCONSOLIDATION,0.05,High School,female,MORTGAGE,109107.0,No,0.0
257,2.0,4500.0,10.99,HOMEIMPROVEMENT,0.06,High School,male,RENT,72955.0,No,1.0
258,3.0,5160.0,14.59,MEDICAL,0.07,Associate,female,MORTGAGE,70915.0,No,1.0
259,7.0,20574.0,13.54,DEBTCONSOLIDATION,0.21,Bachelor,male,RENT,100318.0,No,1.0
260,2.0,25000.0,11.49,EDUCATION,0.33,Bachelor,female,MORTGAGE,76652.0,Yes,0.0
261,7.0,18000.0,8.24,VENTURE,0.18,Bachelor,male,MORTGAGE,100166.0,Yes,0.0
262,5.0,15000.0,10.99,HOMEIMPROVEMENT,0.14,Associate,female,MORTGAGE,105527.0,No,0.0
263,5.0,21125.0,13.16,VENTURE,0.1,Bachelor,female,MORTGAGE,213219.0,Yes,0.0
264,9.0,6000.0,13.38,DEBTCONSOLIDATION,0.14,Master,female,RENT,43943.0,Yes,0.0
265,8.0,5272.0,16.32,EDUCATION,0.09,High School,male,RENT,56013.0,No,1.0
266,3.0,25000.0,13.11,MEDICAL,0.23,Bachelor,male,MORTGAGE,107408.0,Yes,0.0
